Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","1M Return","1D Return","Return on Equity","PB Ratio"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","233743.7578281","1864.2","32.86629253090571","-17.71352902229088","-10.649923312883438","14.13111531329148","4.139222510677707"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","220333.68248994902","156.03","16.20357957513458","-4.755219142961782","-1.8987739704495505","7.172090313914273","1.153430570115654"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","212475.23840673","950.3","13.278872470891194","9.633133364097832","0.6194081211286896","13.921297383829684","1.7173740788284124"
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","200826.70335788","2002.6","83.21663421782603","-1.301133563331695","-0.9594460929772547","15.133296607408782","11.82352458782894"
Eicher Motors Ltd,EICHERMOT,"Trucks & Buses","191268.8579601","6973","40.399468144088864","-4.837939269873763","-1.0781671159029649","24.068108348274933","8.981238596599718"
Shriram Finance Ltd,SHRIRAMFIN,"Consumer Finance","188816.76597348","1003.55","19.763483713685208","6.897102684277802","-0.19393336648434067","18.001194763727987","3.343675718702133"
Grasim Industries Ltd,GRASIM,"Cement","187183.350510025","2759","50.512551140418424","-2.1422997800950587","-1.0259721624336315","2.4973131852977937","1.1860271703583993"
Hyundai Motor India Ltd,HYUNDAI,"Four Wheelers","183894.301752","2263.2","32.60410085989553","-2.4861045284157126","-0.6409693563965388","41.83810471876841","11.284309706034314"
Interglobe Aviation Ltd,INDIGO,"Airlines","181871.7820541","4704.5","25.056731794073087","-8.677084344365719","-4.1658178855163985","127.73588392126491","19.413738183866705"
LTIMindtree Ltd,LTIM,"IT Services & Consulting","174683.68594845","5893.5","37.98544935491553","-4.527782277660781","-0.899613250378342","21.520477140898358","7.6914200272306985"
TVS Motor Company Ltd,TVSMOTOR,"Two Wheelers","168601.33168326","3549.8","75.41794077692401","-3.9426329319442517","-0.5686115234867294","26.37303003884767","17.856016792917373"
Tech Mahindra Ltd,TECHM,"IT Services & Consulting","166664.08938495","1701.1","39.20124412206277","3.877625793844651","0.8118999644423265","15.477306442658621","5.996901570790919"
Tata Motors Ltd,TMCV,"Trucks & Buses","165410.32527516002","449.2","-2067629.0659395002","7.361376673040156","0.9665093279388652",,"8270516.263758"
Jio Financial Services Ltd,JIOFIN,"Consumer Finance","160670.95164567","252.9","99.63533920318868","-15.474598930481278","-3.6938309215537","1.2279655311608273","1.3010160257606445"
Varun Beverages Ltd,VBL,"Soft Drinks","160340.08753828998","474.1","61.796660630488226","-2.257499226883824","-2.6688564976390885","21.781458426900265","9.578466892853726"
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","159586.436867","6011.5","72.83726009447741","-7.501154023695953","-0.9800691813539779","15.353889278206026","10.661128790633978"
HDFC Life Insurance Company Ltd,HDFCLIFE,"Insurance","153605.38309936","712.1","84.82642289093347","-6.2903013554415","-1.7928561577713418","11.75057493342192","9.508449168062143"
Bank of Baroda Ltd,BANKBARODA,"Public Banks","153149.890931085","296.15","7.3927098575851256","0.7484266031637995","-2.9970520799213998","15.432291114562467","1.036545590956179"
Muthoot Finance Ltd,MUTHOOTFIN,"Consumer Finance","152670.43205328","3802.8","28.62813940183917","0.17121934515185838","-1.5303348092907612","19.13236554797988","5.0901732645559"
Bharat Petroleum Corporation Ltd,BPCL,"Oil & Gas - Refining & Marketing","151478.91911352","349.15","11.358178772885008","-5.520227303477211","-1.4118311449950587","16.987159340205537","1.8612844073868007"
Indian Railway Finance Corp Ltd,IRFC,"Specialized Finance","149176.99599","114.15","22.943247614580127","-2.9666780006800364","-2.452572209878645","12.768254607873","2.8324152700978185"
Tata Capital Ltd,TATACAP,"Consumer Finance","148321.56838065","351.75","40.47348686662612","5.932841439542234","-1.8006700167504157","12.432532833498007","4.315356606122258"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","147354.81469328","1447.9","70.97195636982241","-0.6927297668038347","-0.33727973568281","22.355485424583982","14.797988171363844"
DLF Ltd,DLF,"Real Estate","145659.71733957","588.45","33.349906205111694","-14.963872832369937","-4.051850644056728","10.65509271993563","3.4232424024968617"
Britannia Industries Ltd,BRITANNIA,"FMCG - Foods","140546.650716","5835","64.50852134775765","-3.9822280730623665","-1.6351989211058664","52.20177924943753","32.07860889321026"
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,"Consumer Finance","138688.89989552","1643.2","32.53545872229338","-0.1519110408944522","-1.2499999999999973","19.706471717743526","5.85959340781091"
Punjab National Bank,PNB,"Public Banks","138087.71336502","120.15","7.472161603796257","-1.21680506453999","-4.002876318312553","15.10358892991322","1.032305001017222"
Canara Bank Ltd,CANBK,"Public Banks","137701.55677806","151.81","7.850890457544952","0.6630860022544924","-1.8554434962503261","17.56242182971462","1.2916799564497714"
ICICI Prudential Asset Management Company Ltd,ICICIAMC,"Asset Management","137250.6484188","2776.9","51.77980141504379","5.867327487609611","-0.22277316661276342","82.83597248655424","39.02558713506628"
Trent Ltd,TRENT,"Retail - Apparel","133517.53547699","3755.9","86.32301610956719","-11.210136876196787","-1.2592670487407354","31.93739385398443","23.913474230031735"
Torrent Pharmaceuticals Ltd,TORNTPHARM,"Pharmaceuticals","133083.5159168","3932.2","69.63166300421186","3.6972573839662397","-2.196244248227837","26.459073402903353","17.53246620752527"
Union Bank of India Ltd,UNIONBANK,"Public Banks","131885.804072139","172.77","7.316031325977262","12.752072048554474","-1.1500171644352848","17.052274176053217","1.1585792591475146"
Ambuja Cements Ltd,AMBUJACEM,"Cement","128188.76556908","518.6","30.759668565297982","-6.768539325842693","-5.122575923893158","7.269580094674474","2.0088687192524475"
